fips,year,month,tmin,tmax,tavg,prec
21113,2019,08,18.4712823655914,30.5339615890084,24.5026219772999,1.96906457729988
21113,2019,09,16.8381104074074,31.3567727901235,24.0974415987654,0.304700018888889
21113,2019,10,9.18071331780167,22.7257047192354,15.9532090185185,5.04410281158901
21113,2019,11,-0.261556859777778,11.6015317074074,5.66998742381482,3.6871363408642
21113,2019,12,0.809665281399044,10.6876844875747,5.74867488448686,5.51954078219833
21115,2019,01,-3.04948608725144,6.46356505145076,1.70703948209966,3.43190194745331
21115,2019,02,-0.382504322009774,11.1346151466767,5.37605541233346,5.76629830488722
21115,2019,03,-1.04679116489049,12.8484120210781,5.9008104280938,2.29227360848896
21115,2019,04,6.51377729957105,21.6592715570175,14.0865244282943,2.74690653017544
21115,2019,05,13.6874796485569,26.5397351018676,20.1136073752122,4.045247925382
21115,2019,06,15.4137559473684,27.746792245614,21.5802740964912,5.74608613421053
21115,2019,07,18.7330665534805,31.0819910356537,24.9075287945671,4.37030033862479
21115,2019,08,16.9306101273345,30.2690313073005,23.5998207173175,2.7799125229202
21115,2019,09,14.758555504386,30.9455530350877,22.8520542697368,0.421347300350877
21115,2019,10,8.22576701319185,22.997949516129,15.6118582646604,4.58763848752122
21115,2019,11,-1.33478065042018,11.9488769456684,5.30704814762412,2.7530341204386
21115,2019,12,-0.146068830336163,10.983591840747,5.41876150520543,4.89536405297114
21117,2019,01,-4.06211507089119,4.23152520455574,0.0847050668322735,3.97702441444024
21117,2019,02,-1.39326903669952,8.58734767343644,3.59703931836846,7.44815660890315
21117,2019,03,-0.370135702072613,10.7885817824366,5.209223040182,4.53311003042066
21117,2019,04,7.15586940271732,20.0145684939164,13.5852189483169,4.62512192563751
21117,2019,05,13.9182336525645,24.9308774631017,19.4245555578331,4.09383433622773
21117,2019,06,16.8465148167732,27.4178157390692,22.1321652779212,7.16315443260738
21117,2019,07,20.1071665600571,31.4347543195814,25.7709604398193,3.3096678151793
21117,2019,08,18.2874937471622,30.0168907955917,24.152192271377,2.9556844146742
21117,2019,09,16.8393510097112,30.5427758290217,23.6910634193665,0.511653678310223
21117,2019,10,8.885906344312,21.9903684112038,15.4381373777579,3.10999269716016
21117,2019,11,-0.488804521587773,10.2390782772086,4.8751368778104,2.71391215375983
21117,2019,12,-0.433332688140477,9.82710916558211,4.69688823872082,3.19945873929275
21119,2019,01,-2.49427438141278,6.7924840269773,2.14910482278226,3.33139927676225
21119,2019,02,0.502978768369967,11.2304456660053,5.86671221718763,6.74317339179894
21119,2019,03,0.107050557159737,12.9606722067425,6.53386138195113,2.27505586804062
21119,2019,04,7.1590801959716,21.0594923783951,14.1092862871833,2.72179377877778
21119,2019,05,13.9192230800478,26.0822885125448,20.0007557962963,3.3337035246356
21119,2019,06,15.9300369154321,26.8988773148148,21.4144571151235,5.62221953824074
21119,2019,07,18.7097471027479,29.6708021804062,24.1902746415771,3.16487997501792
21119,2019,08,17.4753501851852,29.2229925029869,23.349171344086,1.4443660212724
21119,2019,09,15.7774003802469,30.0425755617284,22.9099879709877,0.19854393
21119,2019,10,9.02711349199522,22.4270794563919,15.7270964741935,3.83357350860215
